Name,Description,Department,Total Size,Real Size,Host Key,Named Availability,Weeks,Tags,User Text 3
LAW679_H_S3_I,Supervised Research Paper,"Law, Faculty of",0,0,LAW679_H_SUM_I,2017_SUMLT_Summer school,1-Aug,"Not Running, SWS",School of Law
LAW679_H_S2_I,Supervised Research Paper,"Law, Faculty of",15,0,LAW679_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Law
LAW679_H_S1_I,Supervised Research Paper,"Law, Faculty of",28,0,LAW679_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Law
LAW677_H_S3_I,International Criminal Law,"Law, School of",40,0,LAW677_H_SUM_I,2017_5TP01_5 Week Session Jan A,1-May,,School of Law
LAW669_H_S1_I,Consumer Protection,"Law, Faculty of",40,0,LAW669_H_SEM1_I,[Custom...],,,"Law, Faculty of"
LAW664_H_S2_I,Intellectual Property,"Law, School of",0,0,LAW664_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Law
LAW663_H_S2_I,International Trade Law,"Law, Faculty of",38,0,LAW663_H_SEM2_I,[Custom...],"29-35, 37-42",,School of Law
LAW662_H_S1_I,Tax 1,"Law, Faculty of",50,0,LAW662_H_SEM1_I,[Custom...],Sep-22,,School of Law
LAW656_H_S4_I,Climate Change Law and Policy,"Law, School of",40,0,LAW656_H_WIN_I,2017_INP06_Intensive Session Jun,25-28,,School of Law
LAW652_H_S1_I,Media Law,"Law, Faculty of",20,0,LAW652_H_SEM1_I,[Custom...],Sep-22,,School of Law
LAW640_H_S1_I,Dispute Resolution,"Law, Faculty of",50,0,LAW640_H_SEM1_I,[Custom...],Sep-22,,School of Law
LAW639_H_S4_I,Current Issues in Environmental Law and Policy,"Law, Faculty of",50,0,LAW639_H_WIN_I,[Custom...],26-28,Not Running,School of Law
LAW637_H_S3_I,Jessup Moot,"Law, Faculty of",5,0,LAW637_H_SUM_I,2017_SUMLT_Summer school,1-Aug,,School of Law
LAW634_H_S2_I,Human Rights,"Law, School of",0,0,LAW634_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Law
LAW629_H_S2_I,Animal Law,"Law, School of",0,0,LAW629_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Law
LAW628_H_S3_I,Advocacy,"Law, Faculty of",40,0,LAW628_H_SUM_I,2017_INP03_Intensive Session Feb A,5-Jul,,School of Law
LAW626_H_S3_I,Sports Law,"Law, School of",40,0,LAW626_H_SUM_I,2017_INP01_Intensive Session Jan A,1-Feb,,School of Law
LAW625_H_S2_I,Law Review,"Law, Faculty of",15,0,LAW625_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Law
LAW625_H_S1_I,Law Review,"Law, Faculty of",2,0,LAW625_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Law
LAW623_H_S2_I,International Humanitarian Law,"Law, Faculty of",40,0,LAW623_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Law
LAW621_H_S2_I,Law ? History and Context,"Law, Faculty of",0,0,LAW621_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Law
LAW619_H_S3_I,Biotechnology Law,"Law, School of",40,0,LAW619_H_SUM_I,2017_5TP04_5 Week Session Feb B,6-Oct,,School of Law
LAW608_H_S1_I,Law of Nations,"Law, Faculty of",50,0,LAW608_H_SEM1_I,[Custom...],Sep-22,,School of Law
LAW604_H_S2_I,Competition Law,"Law, Faculty of",40,0,LAW604_H_SEM2_I,[Custom...],"29-35, 37-42",,School of Law
LAW455_H_S2_I,Mooting,"Law, Faculty of",45,0,LAW455_H_SEM2_I,2017_MOOT2_Mooting Period 2,29-42,SWS,School of Law
LAW455_H_S1_I,Mooting,"Law, Faculty of",80,0,LAW455_H_SEM1_I,2017_MOOT1_Mooting Period 1,Sep-22,SWS,School of Law
LAW454_H_S2_I,Remedies,"Law, Faculty of",130,0,LAW454_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Law
LAW453_H_S1_I,Legal Theory,"Law, Faculty of",170,0,LAW453_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Law
LAW452_H_S1_I,Legal Ethics,"Law, Faculty of",170,0,LAW452_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Law
LAW451_H_S2_I,Civil Procedure,"Law, Faculty of",130,0,LAW451_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Law
LAW422_H_S1_I,Evidence,"Law, Faculty of",170,0,LAW422_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Law
LAW400_H_S3_I,Law Honours,"Law, Faculty of",0,0,LAW400_H_SUM_I,2017_INP01_Intensive Session Jan A,1-Feb,Not Running,School of Law
LAW400_H_S2_I,Law Honours,"Law, Faculty of",0,0,LAW400_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Law
LAW400_H_S1_I,Law Honours,"Law, Faculty of",0,0,LAW400_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Law
LAW354_H_S1_I,Property Law,"Law, Faculty of",170,0,LAW354_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Law
LAW353_H_S1_I,Equity and Trusts,"Law, Faculty of",170,0,LAW353_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Law
LAW352_H_S2_I,Criminal Law B and Criminal Procedure,"Law, Faculty of",160,0,LAW352_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Law
LAW351_H_S1_I,Criminal Law A,"Law, Faculty of",180,0,LAW351_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Law
LAW305_H_S2_I,Corporations Law 1,"Law, Faculty of",115,0,LAW305_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Law
LAW258_H_S2_I,Criminal Law B and Criminal Procedure (Police Studies),"Law, Faculty of",4,0,LAW258_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Law
LAW257_H_S1_I,Criminal Law A (Police Studies),"Law, Faculty of",5,0,LAW257_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Law
LAW256_H_S2_I,Torts,"Law, Faculty of",144,0,LAW256_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Law
LAW255_H_S2_I,Legal Reasoning,"Law, Faculty of",20,0,LAW255_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Law
LAW255_H_S1_I,Legal Reasoning,"Law, Faculty of",182,0,LAW255_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Law
LAW254_H_S1_I,International Law,"Law, Faculty of",180,0,LAW254_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Law
LAW253_H_S1_I,Foundations of Public Law,"Law, Faculty of",180,0,LAW253_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Law
LAW252_H_S1_I,Foundations of Private Law,"Law, Faculty of",180,0,LAW252_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Law
LAW251_H_S2_I,Contract Law,"Law, Faculty of",150,0,LAW251_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Law
LAW250_H_S2_I,Constitutional Law,"Law, Faculty of",180,0,LAW250_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Law
LAW204_H_S2_I,Administrative Law,"Law, Faculty of",145,0,LAW204_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Law
LAW142_H_S2_I,Law ? History and Context,"Law, Faculty of",0,0,LAW142_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Law
LAW141_H_S1_I,Law for Police Officers,"Law, Faculty of",0,0,LAW141_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Law
LAW122_W_S2_I,Legal Systems,"Law, Faculty of",20,0,LAW122_W_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Law
LAW122_L_S2_I,Legal Systems,"Law, Faculty of",50,0,LAW122_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Law
LAW122_H_S2_I,Legal Systems,"Law, Faculty of",180,0,LAW122_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Law
LAW121_W_S1_I,Introduction to Law,"Law, Faculty of",30,0,LAW121_W_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Law
LAW121_L_S1_I,Introduction to Law,"Law, Faculty of",60,0,LAW121_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Law
LAW121_H_S4_I,Introduction to Law,"Law, Faculty of",30,0,LAW121_H_WIN_I,2017_INP06_Intensive Session Jun,25-28,SWS,School of Law
LAW121_H_S1_I,Introduction to Law,"Law, Faculty of",280,0,LAW121_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Law
KHB100_H_S3_I,Research Methods,"Medicine, School of",2,0,KHB100_H_SUM_I,[Custom...],2-Jun,,School of Medicine
KHB100_H_S1_I,Research Methods,"Medicine, School of",12,0,KHB100_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
KHA796_L_S1_I,Research Proposal,School of Health Sciences,5,0,KHA796_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Health Sciences
KHA796_H_S1_I,Research Proposal,School of Health Sciences,11,0,KHA796_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Health Sciences
KHA789_H_S1_I,Assessment in Counselling,School of Health Sciences,15,0,KHA789_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Health Sciences
KHA779_H_S1_I,Research Design & Ethics,School of Health Sciences,10,0,KHA779_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
KHA770_H_S2_I,Research Thesis,School of Health Sciences,5,0,KHA770_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
KHA752_H_S2_I,Research Thesis 2B,"Medicine, School of",0,0,KHA752_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
KHA752_H_S1_I,Research Thesis 2B,"Medicine, School of",0,0,KHA752_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
KHA751_H_S2_I,Research Thesis 2A,"Medicine, School of",0,0,KHA751_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
KHA751_H_S1_I,Research Thesis 2A,"Medicine, School of",0,0,KHA751_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
KHA749_H_S1_I,Health Psychology,"Medicine, School of",24,0,KHA749_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Medicine
KHA747_H_S2_I,Clinical Placement 3,"Medicine, School of",15,0,KHA747_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
KHA747_H_S1_I,Clinical Placement 3,"Medicine, School of",5,0,KHA747_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
KHA746_H_S2_I,Clinical Placement 2,"Medicine, School of",15,0,KHA746_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
KHA746_H_S1_I,Clinical Placement 2,"Medicine, School of",21,0,KHA746_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
KHA745_H_S2_I,Clinical Placement 1,"Medicine, School of",15,0,KHA745_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
KHA745_H_S1_I,Clinical Placement 1,"Medicine, School of",20,0,KHA745_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
KHA741_H_S2_I,Professional Practice 3,"Medicine, School of",20,0,KHA741_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Medicine
KHA740_H_S1_I,Professional Practice 2,"Medicine, School of",24,0,KHA740_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Medicine
KHA739_H_S2_I,Research Thesis 1B,"Medicine, School of",15,0,KHA739_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
KHA739_H_S1_I,Research Thesis 1B,"Medicine, School of",2,0,KHA739_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
KHA736_H_S2_I,Research Thesis 1A,"Medicine, School of",15,0,KHA736_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
KHA736_H_S1_I,Research Thesis 1A,"Medicine, School of",20,0,KHA736_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
KHA735_H_S2_I,Professional Practice 1,"Medicine, School of",35,0,KHA735_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Medicine
KHA734_H_S1_I,Ethics & Professional Practice,"Medicine, School of",30,0,KHA734_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Medicine
KHA732_H_S5_I,Research Project,"Medicine, School of",0,0,KHA732_H_SPR_I,2017_SPR01_Spring school,43-52,Not Running,School of Medicine
KHA732_H_S2_I,Research Project,"Medicine, School of",15,0,KHA732_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
KHA731_H_S5_I,Professional Practicum 2,"Medicine, School of",0,0,KHA731_H_SPR_I,2017_SPR01_Spring school,43-52,Not Running,School of Medicine
KHA731_H_S2_I,Professional Practicum 2,"Medicine, School of",50,0,KHA731_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
KHA730_H_S1_I,Professional Practicum 1,"Medicine, School of",10,0,KHA730_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
KHA724_H_S2_I,Behaviour Change 2,"Medicine, School of",30,0,KHA724_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Medicine
KHA722_H_S1_I,Clinical Child Psychology,"Medicine, School of",24,0,KHA722_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Medicine
KHA721_H_S2_I,Advanced Assessment,"Medicine, School of",30,0,KHA721_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
KHA716_H_S1_I,Research Design 1,"Medicine, School of",20,0,KHA716_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Medicine
KHA714_H_S1_I,Behaviour Change 1,"Medicine, School of",30,0,KHA714_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Medicine
KHA713_H_S1_I,Adult Psychopathology,"Medicine, School of",30,0,KHA713_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Medicine
KHA712_H_S2_I,Psychopharmacology & Substance Use,"Medicine, School of",20,0,KHA712_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Medicine
KHA711_H_S1_I,Current Issues in Assessment,"Medicine, School of",30,0,KHA711_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Medicine
KHA710_H_S1_I,Clinical Research Skills,"Medicine, School of",10,0,KHA710_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
KHA689_H_S1_I,Assessment in Counselling,School of Health Sciences,10,0,KHA689_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Health Sciences
KHA621_H_S2_I,Counselling Practicum,School of Health Sciences,0,0,KHA621_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Health Sciences
KHA621_H_S1_I,Counselling Practicum,School of Health Sciences,0,0,KHA621_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Health Sciences
KHA620_H_S2_I,Advanced Counselling Skills,School of Health Sciences,15,0,KHA620_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
KHA619_H_S2_I,Family & Couple Counselling,School of Health Sciences,17,0,KHA619_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
KHA614_H_S1_I,Theories of Counselling,School of Health Sciences,10,0,KHA614_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
KHA608_H_S2_I,Medical Rehabilitation and Health Counselling,School of Health Sciences,17,0,KHA608_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
KHA606_H_S1_I,Vocational Rehabilitation,School of Health Sciences,10,0,KHA606_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
KHA507_H_S2_I,Adjustment To Change,School of Health Sciences,5,0,KHA507_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
KHA505_H_S1_I,Counselling Ethics And Practice,School of Health Sciences,3,0,KHA505_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
KHA502_H_S2_I,Counselling Skills 2,School of Health Sciences,15,0,KHA502_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Health Sciences
KHA501_H_S1_I,Counselling Skills 1,School of Health Sciences,20,0,KHA501_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Health Sciences
KHA458_L_S2_I,Research Project B,"Medicine, School of",10,0,KHA458_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
KHA458_L_S1_I,Research Project B,"Medicine, School of",5,0,KHA458_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
KHA458_H_S2_I,Research Project B,"Medicine, School of",30,0,KHA458_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
KHA458_H_S1_I,Research Project B,"Medicine, School of",5,0,KHA458_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
KHA457_L_S2_I,Research Project A,"Medicine, School of",10,0,KHA457_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
KHA457_L_S1_I,Research Project A,"Medicine, School of",5,0,KHA457_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
KHA457_H_S2_I,Research Project A,"Medicine, School of",15,0,KHA457_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
KHA457_H_S1_I,Research Project A,"Medicine, School of",27,0,KHA457_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
KHA454_L_S2_I,Advanced Topics in Psychology,"Medicine, School of",10,0,KHA454_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Medicine
KHA454_H_S2_I,Advanced Topics in Psychology,"Medicine, School of",30,0,KHA454_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Medicine
KHA453_L_S2_I,"Assessment, Professional Roles & Ethics","Medicine, School of",8,0,KHA453_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Medicine
KHA453_H_S2_I,"Assessment, Professional Roles & Ethics","Medicine, School of",30,0,KHA453_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Medicine
KHA452_L_S1_I,Theoretical Controversies in Psychology,"Medicine, School of",8,0,KHA452_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Medicine
KHA452_H_S1_I,Theoretical Controversies in Psychology,"Medicine, School of",30,0,KHA452_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Medicine
KHA451_L_S1_I,Research Design & Ethics,"Medicine, School of",10,0,KHA451_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Medicine
KHA451_H_S1_I,Research Design & Ethics,"Medicine, School of",30,0,KHA451_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Medicine
KHA363_L_S2_I,Development Through the Lifespan,"Medicine, School of",30,0,KHA363_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Medicine
KHA359_L_S1_I,Health Psychology,"Medicine, School of",25,0,KHA359_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Medicine
KHA359_H_S1_I,Health Psychology,"Medicine, School of",45,0,KHA359_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
KHA352_L_S2_I,Assessment & Individual Differences,"Medicine, School of",25,0,KHA352_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Medicine
KHA350_L_S1_I,Research Methods 3,"Medicine, School of",35,0,KHA350_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Medicine
KHA350_H_S1_I,Research Methods 3,"Medicine, School of",99,0,KHA350_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Medicine
KHA329_H_S2_I,Individual Differences and Psychological Assessment,"Medicine, School of",70,0,KHA329_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Medicine
KHA312_L_S2_I,Psychology & Law,"Medicine, School of",25,0,KHA312_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Medicine
KHA312_H_S2_I,Psychology & Law,"Medicine, School of",50,0,KHA312_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
KHA305_L_S2_I,Clinical Psychology,"Medicine, School of",35,0,KHA305_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Medicine
KHA305_H_S2_I,Clinical Psychology,"Medicine, School of",80,0,KHA305_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Medicine
KHA303_L_S2_I,Cognitive Neuroscience,"Medicine, School of",20,0,KHA303_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",,School of Medicine
KHA303_H_S2_I,Cognitive Neuroscience,"Medicine, School of",40,0,KHA303_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Medicine
KHA302_L_S1_I,Lifespan Developmental Psychology,"Medicine, School of",35,0,KHA302_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
KHA302_H_S1_I,Lifespan Developmental Psychology,"Medicine, School of",90,0,KHA302_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
KHA258_L_S2_I,Behavioural Neuroscience,"Medicine, School of",40,0,KHA258_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Medicine
KHA258_H_S2_I,Behavioural Neuroscience,"Medicine, School of",81,0,KHA258_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Medicine
KHA208_L_S1_I,Cognition,"Medicine, School of",35,0,KHA208_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,,School of Medicine
KHA208_H_S1_I,Cognition,"Medicine, School of",80,0,KHA208_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Medicine
KHA207_L_S2_I,Social Psychology,"Medicine, School of",60,0,KHA207_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Medicine
KHA207_H_S2_I,Social Psychology,"Medicine, School of",135,0,KHA207_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Medicine
KHA201_L_S1_I,Research Methods 2,"Medicine, School of",70,0,KHA201_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Medicine
KHA201_H_S3_I,Research Methods 2,"Medicine, School of",20,0,KHA201_H_SUM_I,[Custom...],2-Jun,SWS,School of Medicine
KHA201_H_S1_I,Research Methods 2,"Medicine, School of",150,0,KHA201_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Medicine
KHA112_W_S2_I,Psychology B,"Medicine, School of",30,0,KHA112_W_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Medicine
KHA112_L_S2_I,Psychology B,"Medicine, School of",150,0,KHA112_L_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Medicine
KHA112_H_S2_I,Psychology B,"Medicine, School of",260,0,KHA112_H_SEM2_I,2017_SEM02_Semester 2 with break,"29-35, 37-42",SWS,School of Medicine
KHA111_W_S1_I,Psychology A,"Medicine, School of",50,0,KHA111_W_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Medicine
KHA111_L_S1_I,Psychology A,"Medicine, School of",130,0,KHA111_L_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Medicine
KHA111_H_S1_I,Psychology A,"Medicine, School of",320,0,KHA111_H_SEM1_I,2017_SEM01_Semester 1,Sep-22,SWS,School of Medicine
