Scheduled,Host Key,Module Name,Name,Description,Activity Type Name,Size,Allocated Staff Name,Duration,Scheduled Weeks,Required Location Descriptions,Location Suitabilities,Department_Name,Jointly Taught Parents,Zone Name,When Scheduled,Who Scheduled,Scheduled Days,Scheduled Start Time,Scheduled End Time,Allocated Location Name,Allocated Location Description
Unchecked,WDC#1077,FSA111_H_S1_I,FSA111_H_S1_I/Prac/06,Core Studies in Art and Design (Prac),Prac,25,,03:00,,Room 211 Seminar Room 4,,"Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,WDC#1072,FSA111_H_S1_I,FSA111_H_S1_I/Prac/01,Core Studies in Art and Design (Prac),Prac,25,,03:00,,Room 211 Seminar Room 4,,"Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,WDC#1902,FSA111_H_S1_I,FSA111_H_S1_I/Lec/01,Core Studies in Art and Design (Lec),Lec,75,,01:00,,Room 145 Dechaineux Theatre,"LE-E-Media Recording (Lectopia, etc.),LT-LECTHETR","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS5FAA4B,FSA111_H_S2_I,FSA111_H_S2_I/Lec/01,Core Studies in Art and Design (Lec),Lec,50,,01:00,,Room 145 Dechaineux Theatre,LT-LECTHETR,"Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS5FAA4F,FSA111_H_S2_I,FSA111_H_S2_I/Prac/01,Core Studies in Art and Design (Prac),Prac,25,,03:00,,,"LE-Computer,LF-Moveable Furniture,LG-Flat,LT-TUT/SEM","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS5FAA53,FSA111_H_S2_I,FSA111_H_S2_I/Prac/02,Core Studies in Art and Design (Prac),Prac,25,,03:00,,,"LE-Computer,LF-Moveable Furniture,LG-Flat,LT-TUT/SEM","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS208FD5,FST101_H_S1_I,FST101_H_S1_I/Tut/02,Introduction to Art and Design Theory 1A (Tut),Tut,22,,02:00,,,"LE-Computer,LE-DVD Capability,LE-Multimedia Projection","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS208FD9,FST101_H_S1_I,FST101_H_S1_I/Tut/04,Introduction to Art and Design Theory 1A (Tut),Tut,19,,02:00,,,"LE-Computer,LE-DVD Capability,LE-Multimedia Projection","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS208FDB,FST101_H_S1_I,FST101_H_S1_I/Tut/05,Introduction to Art and Design Theory 1A (Tut),Tut,19,,02:00,,Room 108 Seminar Room 3,,"Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS208FDD,FST101_H_S1_I,FST101_H_S1_I/Tut/06,Introduction to Art and Design Theory 1A (Tut),Tut,19,,02:00,,,"LE-Computer,LE-DVD Capability,LE-Multimedia Projection","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS208FDF,FST101_H_S1_I,FST101_H_S1_I/Tut/07,Introduction to Art and Design Theory 1A (Tut),Tut,22,,02:00,,,"LE-Computer,LE-DVD Capability,LE-Multimedia Projection","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS5DE057,FST101_H_S1_I,FST101_H_S1_I/PASS/01,Introduction to Art and Design Theory 1A (PASSTut),PASSTut,20,,01:00,,Room 108 Seminar Room 3,"LF-Moveable Furniture,LT-TUT/SEM","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS5DE071,FST101_H_S1_I,FST101_H_S1_I/PASS/02,Introduction to Art and Design Theory 1A (PASSTut),PASSTut,20,,01:00,,Room 108 Seminar Room 3,"LF-Moveable Furniture,LT-TUT/SEM","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,WDC#3446,FST101_H_S1_I,FST101_H_S1_I/Lec/01,Introduction to Art and Design Theory 1A (Lec),Lec,115,,01:00,,Room 145 Dechaineux Theatre,"LE-E-Media Recording (Lectopia, etc.),LT-LECTHETR","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,WDC#12955,FST101_H_S1_I,FST101_H_S1_I/Tut/01,Introduction to Art and Design Theory 1A (Tut),Tut,19,,02:00,,Room 123C Seminar Room 1,"LE-Computer,LE-DVD Capability,LE-Multimedia Projection","Arts, Tasmanian College of the",,Centre for the Arts,20/07/2016 10:38,,,,,,
Unchecked,#SPLUS5DE0EF,FST102_H_S2_I,FST102_H_S2_I/PASS/01,Introduction to Art and Design Theory 1B (PASSTut),PASSTut,20,,01:00,,Room 108 Seminar Room 3,"LF-Moveable Furniture,LT-TUT/SEM","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS5DE124,FST102_H_S2_I,FST102_H_S2_I/PASS/02,Introduction to Art and Design Theory 1B (PASSTut),PASSTut,20,,01:00,,Room 108 Seminar Room 3,"LF-Moveable Furniture,LT-TUT/SEM","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUSD260BB,FST102_H_S2_I,FST102_H_Sem2_I/Tut/01,Introduction to Art and Design Theory 1B (Tut),Tut,17,,02:00,,Room 108 Seminar Room 3,LT-TUT/SEM,"Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS82E26B,FST102_H_S2_I,FST102_H_Sem2_I/Lec/01,Introduction to Art and Design Theory 1B (Lec),Lec,100,,01:00,,,LT-LECTHETR,"Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS82E26D,FST102_H_S2_I,FST102_H_Sem2_I/Tut/02,Introduction to Art and Design Theory 1B (Tut),Tut,17,,02:00,,Room 123C Seminar Room 1,LT-TUT/SEM,"Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS82E26F,FST102_H_S2_I,FST102_H_Sem2_I/Tut/03,Introduction to Art and Design Theory 1B (Tut),Tut,17,,02:00,,Room 108 Seminar Room 3,LT-TUT/SEM,"Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS82E271,FST102_H_S2_I,FST102_H_Sem2_I/Tut/04,Introduction to Art and Design Theory 1B (Tut),Tut,17,,02:00,,Room 108 Seminar Room 3,LT-TUT/SEM,"Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS82E273,FST102_H_S2_I,FST102_H_Sem2_I/Tut/05,Introduction to Art and Design Theory 1B (Tut),Tut,17,,02:00,,Room 108 Seminar Room 3,LT-TUT/SEM,"Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS82E275,FST102_H_S2_I,FST102_H_Sem2_I/Tut/06,Introduction to Art and Design Theory 1B (Tut),Tut,17,,02:00,,,LT-TUT/SEM,"Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUSF17056,FST203_H_S1_I,FST203_H_Sem1_I/Tut/01,From Modernism to Postmodernism (Tut),Tut,21,,01:00,,,"LE-Computer,LE-DVD Capability,LE-Multimedia Projection","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUSF1705A,FST203_H_S1_I,FST203_H_Sem1_I/Tut/03,From Modernism to Postmodernism (Tut),Tut,21,,01:00,,,"LE-Computer,LE-DVD Capability,LE-Multimedia Projection","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUSF1705C,FST203_H_S1_I,FST203_H_Sem1_I/Tut/04,From Modernism to Postmodernism (Tut),Tut,21,,01:00,,,"LE-Computer,LE-DVD Capability,LE-Multimedia Projection","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUSF1705E,FST203_H_S1_I,FST203_H_Sem1_I/Tut/05,From Modernism to Postmodernism (Tut),Tut,21,,01:00,,,"LE-Computer,LE-DVD Capability,LE-Multimedia Projection","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUSF17062,FST203_H_S1_I,FST203_H_Sem1_I/Lec/01,From Modernism to Postmodernism (Lec),Lec,84,,01:00,,Room 145 Dechaineux Theatre,"LE-E-Media Recording (Lectopia, etc.),LT-LECTHETR","Arts, Tasmanian College of the",,Centre for the Arts,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS1AE7F7,HEJ342_H_S1_I,HEJ342_H_S1_I/Tut/3,Media and Crime (Tut),Tut,20,,01:00,,Room 201 Lab Classroom / Editing Suite,,"Social Sciences, School of",,Sandy Bay,20/07/2016 10:38,,,,,,
Unchecked,#SPLUSA2D769,HEN102_H_S2_I,HEN102_H_S2_I/PASS/01,English 1B (PASSTut),PASSTut,15,,01:00,,,"LF-Moveable Furniture,LT-TUT/SEM","Humanities, School of",,Sandy Bay,20/07/2016 10:38,,,,,,
Unchecked,#SPLUS04AF14,HEN211_H_S1_I,HEN211_H_S1_I/Tut/1,Popular Genres (Tut),Tut,15,,02:00,,,"LE-Computer,LE-Multimedia Projection,LE-Whiteboard / Writable surface,LF-Moveable Furniture","Humanities, School of",,Sandy Bay,20/07/2016 10:37,,,,,,
Unchecked,#SPLUS04AF1E,HEN311_H_S1_I,HEN311_H_S1_I/Tut/1,Popular Genres (Tut),Tut,12,,02:00,,,"LE-Computer,LE-Multimedia Projection,LE-Whiteboard / Writable surface,LF-Moveable Furniture","Humanities, School of",,Sandy Bay,20/07/2016 10:37,,,,,,
Unchecked,#SPLUSD4E256,HGA138_H_S2_I,HGA138_H_S2_I/Sem/01,"Society, Culture and Health (Sem)",Sem,60,,01:00,,,LT-LECTHETR,"Social Sciences, School of",,Medical Science Precinct,20/07/2016 10:37,,,,,,
Unchecked,#SPLUS8FC0F9,HGA138_R_S2_I,HGA138_R_S2_I/Sem/01,"Society, Culture and Health (Sem)",Sem,30,,01:00,,RZ Room 100 Tutorial Room 4,LT-TUT/SEM,"Social Sciences, School of",,Rozelle,20/07/2016 10:37,,,,,,
Unchecked,#SPLUS84A41A,HGA232_H_S4_I,HGA232_H_S4_I/WksB/1,Working With Offenders (Wks),Wks,20,,07:00,,,"LB-Arts,LE-Computer,LE-DVD Capability,LE-Multimedia Projection,LE-Network Connection,LE-Whiteboard / Writable surface,LF-Moveable Furniture,LT-TUT/SEM","Social Sciences, School of",,Sandy Bay,20/07/2016 10:37,,,,,,
Unchecked,#SPLUS84A41C,HGA232_H_S4_I,HGA232_H_S4_I/WksA/1,Working With Offenders (Wks),Wks,20,,07:00,,,"LB-Arts,LE-Computer,LE-DVD Capability,LE-Multimedia Projection,LE-Network Connection,LE-Whiteboard / Writable surface,LF-Moveable Furniture,LT-TUT/SEM","Social Sciences, School of",,Sandy Bay,20/07/2016 10:37,,,,,,
Unchecked,#SPLUSFD9897,HGA232_H_S4_I,HGA232_H_S4_I/WksA/2,Working With Offenders (Wks),Wks,20,,07:00,,,"LB-Arts,LE-Computer,LE-DVD Capability,LE-Multimedia Projection,LE-Network Connection,LE-Whiteboard / Writable surface,LF-Moveable Furniture,LT-TUT/SEM","Social Sciences, School of",,Sandy Bay,20/07/2016 10:38,,,,,,
Unchecked,#SPLUSFD98B2,HGA232_H_S4_I,HGA232_H_S4_I/WksA/3,Working With Offenders (Wks),Wks,20,,06:00,,,"LB-Arts,LE-Computer,LE-DVD Capability,LE-Multimedia Projection,LE-Network Connection,LE-Whiteboard / Writable surface,LF-Moveable Furniture,LT-TUT/SEM","Social Sciences, School of",,Sandy Bay,20/07/2016 10:38,,,,,,
Unchecked,#SPLUS84FF70,"HGA244_H_S2_I, HGA344_H_S2_I",HGA244_H_S2_I/Lec/1+HGA344_H_S2_I/Lec/1,,Lec,40,,02:00,,,"LB-Arts,LE-E-Media Recording (Lectopia, etc.),LF-Moveable Furniture","Social Sciences, School of","HGA244_H_S2_I/Lec/1,HGA344_H_S2_I/Lec/1",Sandy Bay,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS84FF7A,"HGA244_H_S2_I, HGA344_H_S2_I",HGA244_H_S2_I/Wks/1+HGA344_H_S2_I/Wks/1,,Wks,40,,01:00,,,"LE-E-Media Recording (Lectopia, etc.),LF-Moveable Furniture","Social Sciences, School of","HGA244_H_S2_I/Wks/1,HGA344_H_S2_I/Wks/1",Sandy Bay,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS84A420,HGA332_H_S4_I,HGA332_H_S4_I/WksB/1,Working With Offenders (Wks),Wks,20,,07:00,,,,"Social Sciences, School of",,Sandy Bay,20/07/2016 10:37,,,,,,
Unchecked,#SPLUS84A422,HGA332_H_S4_I,HGA332_H_S4_I/WksA/1,Working With Offenders (Wks),Wks,20,,07:00,,,,"Social Sciences, School of",,Sandy Bay,20/07/2016 10:37,,,,,,
Unchecked,#SPLUSFD98D3,HGA332_H_S4_I,HGA332_H_S4_I/WksA/2,Working With Offenders (Wks),Wks,20,,07:00,,,,"Social Sciences, School of",,Sandy Bay,20/07/2016 10:38,,,,,,
Unchecked,#SPLUSFD98FA,HGA332_H_S4_I,HGA332_H_S4_I/WksA/3,Working With Offenders (Wks),Wks,20,,06:00,,,,"Social Sciences, School of",,Sandy Bay,20/07/2016 10:38,,,,,,
Unchecked,#SPLUS84A42A,HGA532_H_S4_I,HGA532_H_S4_I/WksB/1,Working With Offenders (Wks),Wks,20,,07:00,,,,"Social Sciences, School of",,Sandy Bay,20/07/2016 10:37,,,,,,
Unchecked,#SPLUS84A42C,HGA532_H_S4_I,HGA532_H_S4_I/WksA/1,Working With Offenders (Wks),Wks,20,,07:00,,,,"Social Sciences, School of",,Sandy Bay,20/07/2016 10:37,,,,,,
Unchecked,#SPLUSFD991B,HGA532_H_S4_I,HGA532_H_S4_I/WksA/2,Working With Offenders (Wks),Wks,20,,07:00,,,,"Social Sciences, School of",,Sandy Bay,20/07/2016 10:38,,,,,,
Unchecked,#SPLUSFD993C,HGA532_H_S4_I,HGA532_H_S4_I/WksA/3,Working With Offenders (Wks),Wks,20,,06:00,,,,"Social Sciences, School of",,Sandy Bay,20/07/2016 10:38,,,,,,
Unchecked,#SPLUS91A76B,"HIR203_H_S2_I, HIR303_H_S2_I",HIR203_H_S2_I/Lec/1+HIR303_H_S2_I/Lec/1,International Relations of Asia (Lec),Lec,50,,02:00,,,"LB-Arts,LE-E-Media Recording (Lectopia, etc.),LE-Multimedia Projection,LT-LECTHETR","Social Sciences, School of","HIR203_H_S2_I/Lec/1,HIR303_H_S2_I/Lec/1",Sandy Bay,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS91A775,"HIR203_H_S2_I, HIR303_H_S2_I",HIR203_H_S2_I/Tut/1+HIR303_H_S2_I/Tut/1,International Relations of Asia (Tut),Tut,10,,01:00,,,"LB-Arts,LE-Whiteboard / Writable surface,LT-TUT/SEM","Social Sciences, School of","HIR203_H_S2_I/Tut/1,HIR303_H_S2_I/Tut/1",Sandy Bay,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS91A77F,"HIR203_H_S2_I, HIR303_H_S2_I",HIR203_H_S2_I/Tut/3+HIR303_H_S2_I/Tut/3,International Relations of Asia (Tut),Tut,10,,01:00,,,"LB-Arts,LE-Whiteboard / Writable surface,LT-TUT/SEM","Social Sciences, School of","HIR203_H_S2_I/Tut/3,HIR303_H_S2_I/Tut/3",Sandy Bay,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS91A789,"HIR203_H_S2_I, HIR303_H_S2_I",HIR203_H_S2_I/Tut/2+HIR303_H_S2_I/Tut/2,International Relations of Asia (Tut),Tut,10,,01:00,,,"LB-Arts,LE-Whiteboard / Writable surface,LT-TUT/SEM","Social Sciences, School of","HIR203_H_S2_I/Tut/2,HIR303_H_S2_I/Tut/2",Sandy Bay,5/08/2016 10:33,,,,,,
Unchecked,#SPLUSFD6FB6,"HIR206_H_S1_I, HIR306_H_S1_I",HIR206_H_S1_I/Lec/1+HIR306_H_S1_I/Lec/1,"Espionage, Terror and Global Disorder",Lec,55,,02:00,,,"LE-Computer,LE-E-Media Recording (Lectopia, etc.),LE-Multimedia Projection,LT-LECTHETR","Social Sciences, School of","HIR206_H_S1_I/Lec/1,HIR306_H_S1_I/Lec/1",Sandy Bay,5/08/2016 10:33,,,,,,
Unchecked,#SPLUSFD6FC8,"HIR206_H_S1_I, HIR306_H_S1_I",HIR206_H_S1_I/Tut/1+HIR306_H_S1_I/Tut/1,"Espionage, Terror and Global Disorder",Tut,22,,01:00,,,"LB-Arts,LE-Whiteboard / Writable surface,LT-TUT/SEM","Social Sciences, School of","HIR206_H_S1_I/Tut/1,HIR306_H_S1_I/Tut/1",Sandy Bay,5/08/2016 10:33,,,,,,
Unchecked,#SPLUSFD6FE3,"HIR206_H_S1_I, HIR306_H_S1_I",HIR206_H_S1_I/Tut/3+HIR306_H_S1_I/Tut/3,"Espionage, Terror and Global Disorder",Tut,33,,01:00,,,"LB-Arts,LE-Whiteboard / Writable surface,LT-TUT/SEM","Social Sciences, School of","HIR206_H_S1_I/Tut/3,HIR306_H_S1_I/Tut/3",Sandy Bay,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS6AC575,"HMJ210_H_S1_I, HMJ310_H_S1_I",HMJ210_H_S1_I/Tut/2+ HMJ310_H_S1_I/Tut/2,,Tut,15,,01:00,,,"LB-Arts,LT-TUT/SEM","Humanities, School of","HMJ210_H_S1_I/Tut/2,HMJ310_H_S1_I/Tut/2",Sandy Bay,20/07/2016 10:38,,,,,,
Unchecked,#SPLUS847255 002,HMJ315_H_S1_I,HMJ315_H_S1_I/Tut/2 <10>,Japanese 3A (Tut),Tut,15,,02:00,,,"LB-Arts,LE-Computer,LT-TUT/SEM","Humanities, School of",,Sandy Bay,20/07/2016 10:38,,,,,,
Unchecked,#SPLUS03B784 002,HPP101_H_S1_I,"HPP101_H_S1_I/LecA/01 <12, 18>",Introduction to Politics and Policy (Lec),Lec,220,,01:00,,,"LE-Computer,LE-E-Media Recording (Lectopia, etc.),LF-Fixed Furniture,LT-LECTHETR","Social Sciences, School of",,Sandy Bay,20/07/2016 10:37,,,,,,
Unchecked,#SPLUS63FE1C,"HPP201_H_S2_I, HPP301_H_S2_I",HPP201_H_S2_I/Tut/1+HPP301_H_S2_I/Tut/1,Politics and the State (Tut),Tut,20,,01:00,,,"LB-Arts,LE-Computer,LE-Multimedia Projection,LT-TUT/SEM","Social Sciences, School of","HPP201_H_S2_I/Tut/1,HPP301_H_S2_I/Tut/1",Sandy Bay,5/08/2016 10:33,,,,,,
Unchecked,#SPLUS63FE22,"HPP201_H_S2_I, HPP301_H_S2_I",HPP201_H_S2_I/Tut/2+HPP301_H_S2_I/Tut/2,Politics and the State (Tut),Tut,20,,01:00,,,"LB-Arts,LE-Computer,LE-Multimedia Projection,LT-TUT/SEM","Social Sciences, School of","HPP201_H_S2_I/Tut/2,HPP301_H_S2_I/Tut/2",Sandy Bay,5/08/2016 10:33,,,,,,
